,q5,q15,q50,q85,q95,mean
0,1659.4,1659.4,1659.4,1659.4,1659.4,1659.400000000188
1,1659.4,1659.4,1659.4,1659.4,1659.4,1659.400000000188
2,1659.4,1659.4,1659.4,1659.4,1659.4,1659.400000000188
3,1659.4,1659.4,1659.4,1659.4,1659.4,1659.400000000188
4,1658.4,1658.4,1658.4,1658.4,1658.4,1658.400000000188
5,1650.8,1650.8,1650.8,1650.8,1650.8,1650.8000000000027
6,1650.8,1650.8,1650.8,1650.8,1650.8,1650.8000000000027
7,1650.8,1650.8,1650.8,1650.8,1650.8,1650.8000000000027
8,1650.8,1650.8,1650.8,1650.8,1650.8,1650.8000000000027
9,1650.5,1650.5,1650.5,1650.5,1650.5,1650.5
10,1642.4,1642.4,1642.4,1642.4,1642.4,1642.4000000001859
11,1642.4,1642.4,1642.4,1642.4,1642.4,1642.4000000001859
12,1642.4,1642.4,1642.4,1642.4,1642.4,1642.4000000001859
13,1642.4,1642.4,1642.4,1642.4,1642.4,1642.4000000001859
14,1642.4,1642.4,1642.4,1642.4,1642.4,1642.4000000001859
15,1642.4,1642.4,1642.4,1642.4,1642.4,1642.4000000001859
16,1633.81,1633.81,1633.81,1633.81,1633.81,1633.8099999999208
17,1633.81,1633.81,1633.81,1633.81,1633.81,1633.8099999999208
18,1633.81,1633.81,1633.81,1633.81,1633.81,1633.8099999999208
19,1633.81,1633.81,1633.81,1633.81,1633.81,1633.8099999999208
20,1633.81,1633.81,1633.81,1633.81,1633.81,1633.8099999999208
21,1628.23,1628.23,1628.23,1628.23,1628.23,1628.2300000002476
22,1628.23,1628.23,1628.23,1628.23,1628.23,1628.2300000002476
23,1628.23,1628.23,1628.23,1628.23,1628.23,1628.2300000002476
24,1628.23,1628.23,1628.23,1628.23,1628.23,1628.2300000002476
25,1618.38,1618.38,1618.38,1618.38,1618.38,1618.3800000000276
26,1612.23,1612.23,1612.23,1612.23,1612.23,1612.2300000002458
27,1603.53,1603.53,1603.53,1603.53,1603.53,1603.5299999999886
28,1598.08,1598.08,1598.08,1598.08,1598.08,1598.0800000000643
29,1587.85,1587.85,1587.85,1587.85,1587.85,1587.8499999998205
30,1582.75,1582.75,1582.75,1582.75,1582.75,1582.75
31,1582.75,1582.75,1582.75,1582.75,1582.75,1582.75
32,1582.75,1582.75,1582.75,1582.75,1582.75,1582.75
33,1582.75,1582.75,1582.75,1582.75,1582.75,1582.75
34,1582.75,1582.75,1582.75,1582.75,1582.75,1582.75
35,1582.75,1582.75,1582.75,1582.75,1582.75,1582.75
36,1580.31,1580.31,1580.31,1580.31,1580.31,1580.3099999999004
37,1577.53,1577.53,1577.53,1577.53,1577.53,1577.5299999999993
38,1577.53,1577.53,1577.53,1577.53,1577.53,1577.5299999999993
39,1577.53,1577.53,1577.53,1577.53,1577.53,1577.5299999999993
40,1577.53,1577.53,1577.53,1577.53,1577.53,1577.5299999999993
41,1577.53,1577.53,1577.53,1577.53,1577.53,1577.5299999999993
42,1577.53,1577.53,1577.53,1577.53,1577.53,1577.5299999999993
43,1577.53,1577.53,1577.53,1577.53,1577.53,1577.5299999999993
44,1577.53,1577.53,1577.53,1577.53,1577.53,1577.5299999999993
45,1577.53,1577.53,1577.53,1577.53,1577.53,1577.5299999999993
46,1577.53,1577.53,1577.53,1577.53,1577.53,1577.5299999999993
47,1577.53,1577.53,1577.53,1577.53,1577.53,1577.5299999999993
48,1577.53,1577.53,1577.53,1577.53,1577.53,1577.5299999999993
49,1577.53,1577.53,1577.53,1577.53,1577.53,1577.5299999999993
50,1577.53,1577.53,1577.53,1577.53,1577.53,1577.5299999999993
51,1577.53,1577.53,1577.53,1577.53,1577.53,1577.5299999999993
52,1571.0,1571.0,1571.0,1571.0,1571.0,1571.0
53,1571.0,1571.0,1571.0,1571.0,1571.0,1571.0
54,1549.1329810066081,1571.0,1571.0,1571.0,1571.0,1567.6838523991182
55,1529.0012540741525,1560.46742038826,1571.0,1571.0,1571.0,1564.6115074429363
56,1515.670510079868,1549.665647540303,1571.0,1571.0,1571.0,1561.7849124925438
57,1507.6671055670956,1541.6763265245233,1571.0,1571.0,1571.0,1559.196995061978
58,1499.7294135682891,1535.4180179758855,1571.0,1571.0,1571.0,1556.6697886651762
59,1493.762796904912,1530.619671957037,1571.0,1571.0,1571.0,1554.3834831147872
60,1488.4534138076278,1526.6581382732986,1570.1279856439692,1571.0,1571.0,1552.4309276422232
61,1483.9083808981713,1522.9142058272287,1566.4466437800465,1571.0,1571.0,1550.4978130467657
62,1480.7329089998905,1519.519838319176,1562.4020179643853,1571.0,1571.0,1548.4408647120422
63,1477.1423920182644,1515.6623568857685,1559.3644179084822,1571.0,1571.0,1546.3433559986643
