,q5,q15,q50,q85,q95,mean
0,231.1,231.1,231.1,231.1,231.1,231.10000000001028
1,231.1,231.1,231.1,231.1,231.1,231.10000000001028
2,231.1,231.1,231.1,231.1,231.1,231.10000000001028
3,231.1,231.1,231.1,231.1,231.1,231.10000000001028
4,231.1,231.1,231.1,231.1,231.1,231.10000000001028
5,231.1,231.1,231.1,231.1,231.1,231.10000000001028
6,231.1,231.1,231.1,231.1,231.1,231.10000000001028
7,229.4,229.4,229.4,229.4,229.4,229.39999999999034
8,229.4,229.4,229.4,229.4,229.4,229.39999999999034
9,229.4,229.4,229.4,229.4,229.4,229.39999999999034
10,229.4,229.4,229.4,229.4,229.4,229.39999999999034
11,228.95,228.95,228.95,228.95,228.95,228.94999999997435
12,228.8,228.8,228.8,228.8,228.8,228.80000000002565
13,227.33,227.33,227.33,227.33,227.33,227.3300000000032
14,227.33,227.33,227.33,227.33,227.33,227.3300000000032
15,227.33,227.33,227.33,227.33,227.33,227.3300000000032
16,227.33,227.33,227.33,227.33,227.33,227.3300000000032
17,226.32,226.32,226.32,226.32,226.32,226.3199999999974
18,226.32,226.32,226.32,226.32,226.32,226.3199999999974
19,226.32,226.32,226.32,226.32,226.32,226.3199999999974
20,226.32,226.32,226.32,226.32,226.32,226.3199999999974
21,226.32,226.32,226.32,226.32,226.32,226.3199999999974
22,226.32,226.32,226.32,226.32,226.32,226.3199999999974
23,226.32,226.32,226.32,226.32,226.32,226.3199999999974
24,226.32,226.32,226.32,226.32,226.32,226.3199999999974
25,224.39,224.39,224.39,224.39,224.39,224.3899999999868
26,224.39,224.39,224.39,224.39,224.39,224.3899999999868
27,224.39,224.39,224.39,224.39,224.39,224.3899999999868
28,224.39,224.39,224.39,224.39,224.39,224.3899999999868
29,224.39,224.39,224.39,224.39,224.39,224.3899999999868
30,224.39,224.39,224.39,224.39,224.39,224.3899999999868
31,223.13,223.13,223.13,223.13,223.13,223.12999999997913
32,223.13,223.13,223.13,223.13,223.13,223.12999999997913
33,223.13,223.13,223.13,223.13,223.13,223.12999999997913
34,223.13,223.13,223.13,223.13,223.13,223.12999999997913
35,223.13,223.13,223.13,223.13,223.13,223.12999999997913
36,223.13,223.13,223.13,223.13,223.13,223.12999999997913
37,223.13,223.13,223.13,223.13,223.13,223.12999999997913
38,223.13,223.13,223.13,223.13,223.13,223.12999999997913
39,223.13,223.13,223.13,223.13,223.13,223.12999999997913
40,223.13,223.13,223.13,223.13,223.13,223.12999999997913
41,223.13,223.13,223.13,223.13,223.13,223.12999999997913
42,223.13,223.13,223.13,223.13,223.13,223.12999999997913
43,223.13,223.13,223.13,223.13,223.13,223.12999999997913
44,223.13,223.13,223.13,223.13,223.13,223.12999999997913
45,223.13,223.13,223.13,223.13,223.13,223.12999999997913
46,223.13,223.13,223.13,223.13,223.13,223.12999999997913
47,223.13,223.13,223.13,223.13,223.13,223.12999999997913
48,223.13,223.13,223.13,223.13,223.13,223.12999999997913
49,223.13,223.13,223.13,223.13,223.13,223.12999999997913
50,223.13,223.13,223.13,223.13,223.13,223.12999999997913
51,223.13,223.13,223.13,223.13,223.13,223.12999999997913
52,223.13,223.13,223.13,223.13,223.13,223.12999999997913
53,223.13,223.13,223.13,223.13,223.13,223.12999999997913
54,221.7000580956879,223.13,223.13,223.13,223.13,222.87166180712512
55,219.86871310323428,223.03170229676988,223.13,223.13,223.13,222.66732914354475
56,218.5408269495618,222.03717158192293,223.13,223.13,223.13,222.45214841401298
57,217.77093995794263,221.2485453835678,223.13,223.13,223.13,222.24672797178113
58,217.23815291519787,220.6303893661012,223.13,223.13,223.13,222.070324095411
59,216.5631947600982,220.0887085825326,223.13,223.13,223.13,221.8752542867227
60,216.14001601310832,219.71016804739025,223.13,223.13,223.13,221.71688504587536
61,215.52796577068443,219.3382265320813,223.13,223.13,223.13,221.5485069962056
62,215.17611247198369,219.06723501488196,223.13,223.13,223.13,221.40207041337632
63,214.8161574715184,218.80588086043335,223.02343451812044,223.13,223.13,221.26973198426225
