,q5,q15,q50,q85,q95,mean
0,136.2,136.2,136.2,136.2,136.2,136.19999999998856
1,136.2,136.2,136.2,136.2,136.2,136.19999999998856
2,136.2,136.2,136.2,136.2,136.2,136.19999999998856
3,136.2,136.2,136.2,136.2,136.2,136.19999999998856
4,136.2,136.2,136.2,136.2,136.2,136.19999999998856
5,136.0,136.0,136.0,136.0,136.0,136.0
6,133.9,133.9,133.9,133.9,133.9,133.90000000001433
7,133.9,133.9,133.9,133.9,133.9,133.90000000001433
8,133.9,133.9,133.9,133.9,133.9,133.90000000001433
9,133.9,133.9,133.9,133.9,133.9,133.90000000001433
10,133.9,133.9,133.9,133.9,133.9,133.90000000001433
11,133.9,133.9,133.9,133.9,133.9,133.90000000001433
12,133.4,133.4,133.4,133.4,133.4,133.4000000000143
13,132.18,132.18,132.18,132.18,132.18,132.18000000001334
14,132.18,132.18,132.18,132.18,132.18,132.18000000001334
15,132.18,132.18,132.18,132.18,132.18,132.18000000001334
16,132.18,132.18,132.18,132.18,132.18,132.18000000001334
17,132.18,132.18,132.18,132.18,132.18,132.18000000001334
18,132.18,132.18,132.18,132.18,132.18,132.18000000001334
19,132.18,132.18,132.18,132.18,132.18,132.18000000001334
20,132.18,132.18,132.18,132.18,132.18,132.18000000001334
21,132.18,132.18,132.18,132.18,132.18,132.18000000001334
22,132.18,132.18,132.18,132.18,132.18,132.18000000001334
23,132.18,132.18,132.18,132.18,132.18,132.18000000001334
24,132.18,132.18,132.18,132.18,132.18,132.18000000001334
25,132.18,132.18,132.18,132.18,132.18,132.18000000001334
26,132.18,132.18,132.18,132.18,132.18,132.18000000001334
27,132.18,132.18,132.18,132.18,132.18,132.18000000001334
28,132.18,132.18,132.18,132.18,132.18,132.18000000001334
29,132.18,132.18,132.18,132.18,132.18,132.18000000001334
30,132.18,132.18,132.18,132.18,132.18,132.18000000001334
31,131.96,131.96,131.96,131.96,131.96,131.95999999999347
32,131.96,131.96,131.96,131.96,131.96,131.95999999999347
33,131.96,131.96,131.96,131.96,131.96,131.95999999999347
34,131.96,131.96,131.96,131.96,131.96,131.95999999999347
35,131.96,131.96,131.96,131.96,131.96,131.95999999999347
36,131.96,131.96,131.96,131.96,131.96,131.95999999999347
37,131.96,131.96,131.96,131.96,131.96,131.95999999999347
38,131.96,131.96,131.96,131.96,131.96,131.95999999999347
39,131.96,131.96,131.96,131.96,131.96,131.95999999999347
40,131.96,131.96,131.96,131.96,131.96,131.95999999999347
41,131.96,131.96,131.96,131.96,131.96,131.95999999999347
42,131.96,131.96,131.96,131.96,131.96,131.95999999999347
43,131.96,131.96,131.96,131.96,131.96,131.95999999999347
44,131.96,131.96,131.96,131.96,131.96,131.95999999999347
45,131.96,131.96,131.96,131.96,131.96,131.95999999999347
46,131.96,131.96,131.96,131.96,131.96,131.95999999999347
47,131.96,131.96,131.96,131.96,131.96,131.95999999999347
48,131.96,131.96,131.96,131.96,131.96,131.95999999999347
49,131.96,131.96,131.96,131.96,131.96,131.95999999999347
50,131.96,131.96,131.96,131.96,131.96,131.95999999999347
51,131.96,131.96,131.96,131.96,131.96,131.95999999999347
52,131.96,131.96,131.96,131.96,131.96,131.95999999999347
53,131.96,131.96,131.96,131.96,131.96,131.95999999999347
54,129.16550523830705,131.62948037357663,131.96,131.96,131.96,131.56001133212027
55,127.63306529269748,130.39737913086188,131.96,131.96,131.96,131.23746571457414
56,126.68177870885398,129.55890509156364,131.96,131.96,131.96,130.95071637402557
57,126.07834789925761,128.93657423369814,131.96,131.96,131.96,130.69383777777793
58,125.73243794643423,128.45973199989143,131.70247454553302,131.96,131.96,130.47793851828777
59,125.33735162230919,128.12815790546406,131.43738329243251,131.96,131.96,130.28675093641598
60,125.0112384933518,127.83276707957774,131.2075185079451,131.96,131.96,130.11216120858936
61,124.70918156748019,127.55772433275605,130.99744242007313,131.96,131.96,129.94551703984604
62,124.51841270226794,127.32370365255441,130.812426896768,131.96,131.96,129.80210328863706
63,124.2752261249098,127.11669565290977,130.60474476658715,131.96,131.96,129.664937495758
