,q5,q15,q50,q85,q95,mean
0,953.6,953.6,953.6,953.6,953.6,953.5999999999487
1,953.6,953.6,953.6,953.6,953.6,953.5999999999487
2,953.6,953.6,953.6,953.6,953.6,953.5999999999487
3,953.6,953.6,953.6,953.6,953.6,953.5999999999487
4,953.6,953.6,953.6,953.6,953.6,953.5999999999487
5,953.6,953.6,953.6,953.6,953.6,953.5999999999487
6,953.6,953.6,953.6,953.6,953.6,953.5999999999487
7,953.6,953.6,953.6,953.6,953.6,953.5999999999487
8,953.6,953.6,953.6,953.6,953.6,953.5999999999487
9,937.0,937.0,937.0,937.0,937.0,937.0
10,935.52,935.52,935.52,935.52,935.52,935.5199999998999
11,933.8,933.8,933.8,933.8,933.8,933.7999999998958
12,930.6,930.6,930.6,930.6,930.6,930.5999999999567
13,924.6,924.6,924.6,924.6,924.6,924.5999999999589
14,908.26,908.26,908.26,908.26,908.26,908.2599999998657
15,908.26,908.26,908.26,908.26,908.26,908.2599999998657
16,898.89,898.89,898.89,898.89,898.89,898.8899999999586
17,888.07,888.07,888.07,888.07,888.07,888.0700000000058
18,877.33,877.33,877.33,877.33,877.33,877.3300000000559
19,877.33,877.33,877.33,877.33,877.33,877.3300000000559
20,877.33,877.33,877.33,877.33,877.33,877.3300000000559
21,877.33,877.33,877.33,877.33,877.33,877.3300000000559
22,877.33,877.33,877.33,877.33,877.33,877.3300000000559
23,877.33,877.33,877.33,877.33,877.33,877.3300000000559
24,877.33,877.33,877.33,877.33,877.33,877.3300000000559
25,877.33,877.33,877.33,877.33,877.33,877.3300000000559
26,877.33,877.33,877.33,877.33,877.33,877.3300000000559
27,876.45,876.45,876.45,876.45,876.45,876.4500000000988
28,868.09,868.09,868.09,868.09,868.09,868.0899999999258
29,868.09,868.09,868.09,868.09,868.09,868.0899999999258
30,868.09,868.09,868.09,868.09,868.09,868.0899999999258
31,868.09,868.09,868.09,868.09,868.09,868.0899999999258
32,868.09,868.09,868.09,868.09,868.09,868.0899999999258
33,868.09,868.09,868.09,868.09,868.09,868.0899999999258
34,868.09,868.09,868.09,868.09,868.09,868.0899999999258
35,868.09,868.09,868.09,868.09,868.09,868.0899999999258
36,864.68,864.68,864.68,864.68,864.68,864.680000000002
37,864.68,864.68,864.68,864.68,864.68,864.680000000002
38,864.53,864.53,864.53,864.53,864.53,864.5299999999769
39,856.63,856.63,856.63,856.63,856.63,856.629999999912
40,851.15,851.15,851.15,851.15,851.15,851.1500000000126
41,851.15,851.15,851.15,851.15,851.15,851.1500000000126
42,851.15,851.15,851.15,851.15,851.15,851.1500000000126
43,851.15,851.15,851.15,851.15,851.15,851.1500000000126
44,851.15,851.15,851.15,851.15,851.15,851.1500000000126
45,851.15,851.15,851.15,851.15,851.15,851.1500000000126
46,851.15,851.15,851.15,851.15,851.15,851.1500000000126
47,851.15,851.15,851.15,851.15,851.15,851.1500000000126
48,851.15,851.15,851.15,851.15,851.15,851.1500000000126
49,851.15,851.15,851.15,851.15,851.15,851.1500000000126
50,851.15,851.15,851.15,851.15,851.15,851.1500000000126
51,851.15,851.15,851.15,851.15,851.15,851.1500000000126
52,846.62,846.62,846.62,846.62,846.62,846.6200000000877
53,846.62,846.62,846.62,846.62,846.62,846.6200000000877
54,815.1441913252105,846.62,846.62,846.62,846.62,842.5570211995814
55,792.2580833247717,831.6989868247025,846.62,846.62,846.62,838.8393709205033
56,779.824252888787,818.4446749605372,846.62,846.62,846.62,835.2467984135487
57,772.4876350299996,809.3101174185141,846.62,846.62,846.62,832.0663273429877
58,765.833871143035,801.1399762513136,846.62,846.62,846.62,828.7523009257371
59,758.7653543516341,794.8985001454973,844.4684733874891,846.62,846.62,825.7072770091816
60,754.0985866236125,790.3723057002051,840.2437954337031,846.62,846.62,823.1615002084629
61,750.1273863185443,786.6187922161432,836.2657467629656,846.62,846.62,820.8804692086883
62,745.510031518403,782.8698341515649,832.5964624940896,846.62,846.62,818.6803214061987
63,741.9912813138359,780.1487018953193,829.3054030055641,846.62,846.62,816.6411303256951
